code,name,city,country,timezone,lat,lng,terminal,gate
ZYA,Amsterdam Centraal,Amsterdam,Netherlands,Europe/Amsterdam,52.7873,4.90074,,
AGL,Wanigela Airport,Wanigela,Papua New Guinea,Pacific/Port_Moresby,-9.333,149.15,,
AGM,Tasiilaq,Angmagssalik,Greenland,America/Godthab,65.612222,-37.618333,,
AGN,Angoon Seaplane Base,Angoon,United States,America/Juneau,57.503611,-134.585,,
AGP,Malaga,Malaga,Spain,Africa/Ceuta,36.6749,-4.499106,,
RIB,Capitán Av. Selin Zeitun Lopez Airport,Riberalta,Bolivia,America/La_Paz,-11,-66,,
AGR,Agra,Agra,India,Asia/Kolkata,27.155831,77.960892,,
ZYL,Osmany Intl,Sylhet Osmani,Bangladesh,Asia/Dhaka,24.963242,91.866783,,
AGS,Augusta Rgnl At Bush Fld,Bush Field,United States,America/Kentucky/Monticello,33.369944,-81.9645,,
RIC,Richmond Intl,Richmond,United States,America/New_York,37.505167,-77.319667,,
AGT,Ciudad del Este,Ciudad del Este,Paraguay,America/Asuncion,-25.4555,-54.843592,,
ZYN,Gare Aéroport Charles-de-Gaulle 2 TGV,Roissy,France,Europe/Paris,48.726111,2.261667,,
AGU,Jesus Teran Intl,Aguascalientes,Mexico,America/Mexico_City,21.705558,-102.317858,,
AGV,Oswaldo Guevara Mujica,Acarigua,Venezuela,America/Caracas,9.553422,-69.237536,,
AGX,Agatti,Agatti Island,India,Asia/Kolkata,10.823656,72.176042,,
IXB,Bagdogra,Baghdogra,India,Asia/Kolkata,26.681206,88.328567,,
ZYR,Brussels Gare du Midi,Brussels,Belgium,Europe/Brussels,50.8,4.4,,
IXA,Agartala,Agartala,India,Asia/Kolkata,23.886978,91.24045,,
